,Spanish non agriculture gdp,,,Turkish non agriculture gdp,,,Serbia non agriculture gdp,
Date,Real GDP in Trillions usd,YoY NA GDP growth rates,,Real GDP in Trillions usd,YoY NA GDP growth rates,,Real GDP in Billions usd,YoY NA GDP growth rates
2000,0.95503,2.736048262,,274.72248,7.044523566,,19.48,10.30577576
2001,0.99605,4.295153032,,202.18227,-26.40490505,,20.52,5.338809035
2002,1.01414,1.816173887,,240.75552,19.07845332,,22.11,7.748538012
2003,1.03818,2.370481393,,315.35918,30.98731028,,23.42,5.92492085
2004,1.07581,3.624612302,,410.12186,30.04912684,,24.68,5.380017079
2005,1.11692,3.821306736,,508.26359,23.92989489,,26.27,6.442463533
2006,1.15669,3.56068474,,559.62733,10.1057288,,27.43,4.415683289
2007,1.20136,3.861881749,,685.17898,22.4348675,,30.03,9.478672986
2008,1.21251,0.9281148032,,775.3628,13.16208212,,31.47,4.795204795
2009,1.16686,-3.764917403,,653.83759,-15.67333511,,30.36,-3.527168732
2010,1.16655,-0.02656702604,,782.48033,19.6750297,,30.85,1.613965744
2011,1.15326,-1.139256783,,844.12144,7.877656171,,30.84,-0.03241491086
2012,1.12712,-2.266618109,,885.26224,4.873801097,,31.21,1.199740597
2013,1.10322,-2.120448577,,962.10606,8.680345386,,30.85,-1.15347645
2014,1.12272,1.767553163,,942.27843,-2.060856991,,30.19,-2.139384117
2015,1.17819,4.940679778,,865.40064,-8.158712707,,30.51,1.059953627
2016,1.20636,2.390955618,,870.76658,0.6200526961,,31.26,2.458210423
2017,1.2434,3.070393581,,863.81848,-0.7979291075,,32.45,3.80678183
2018,1.27081,2.20443944,,788.31455,-8.740717147,,33.64,3.667180277
2019,1.29536,1.931838749,,775.80109,-1.5873689,,35.46,5.410225922
2020,1.15407,-10.90739254,,733.57781,-5.442539401,,34.93,-1.49464185
2021,1.23052,6.624381537,,839.89534,14.49301336,,38.19,9.332951618
2022,1.31567,6.919838767,,926.05747,10.25867461,,39.58,3.639696256
